transcription,label,lang_label,lang_name,lang_fam
bɔnɑɑdmi,0,0,hindi,1
sukʃm,0,0,hindi,1
ʃʊdɾə,0,0,hindi,1
pətəlɑ,0,0,hindi,1
simɪt,0,0,hindi,1
sɑkəɾɑ,0,0,hindi,1
ʋɪɾəl,0,0,hindi,1
səɡʱən,0,0,hindi,1
mɪnəʈ,0,0,hindi,1
toɽɑ,0,0,hindi,1
t͡ʃoʈɑ,0,0,hindi,1
əlp,0,0,hindi,1
ləmbɑ,1,0,hindi,1
pɾət͡ʃuɾ,1,0,hindi,1
bʱɑɾi,1,0,hindi,1
ʋɪʃɑl,1,0,hindi,1
ɡʱənɑ,1,0,hindi,1
məhɑn,1,0,hindi,1
bəhutbəɽɑ,1,0,hindi,1
ʋjɑpək,1,0,hindi,1
ətjɑdʱɪk,1,0,hindi,1
bəɽɑ,1,0,hindi,1
ʋɪʃɑl,1,0,hindi,1
məhɑn,1,0,hindi,1
kuɾaɪnta,0,1,tamil,2
nuɳːija,0,1,tamil,2
melːija,0,1,tamil,2
kont͡ʃam,0,1,tamil,2
t͡ʃiɾija,0,1,tamil,2
t͡ʃinːa,0,1,tamil,2
puɭːi,0,1,tamil,2
nuɳ,0,1,tamil,2
kuɾukija,0,1,tamil,2
noj,0,1,tamil,2
aɳu,0,1,tamil,2
kuɾu,0,1,tamil,2
atikamaːna,1,1,tamil,2
tiɾaɭaːna,1,1,tamil,2
piɾamːaːɳʈamaːna,1,1,tamil,2
paːɾija,1,1,tamil,2
kanatːa,1,1,tamil,2
ʋit͡ʃaːlamaːna,1,1,tamil,2
paɾanta,1,1,tamil,2
ujaɾnta,1,1,tamil,2
ʋiɾiʋaːna,1,1,tamil,2
elːaɪjaɾɾa,1,1,tamil,2
peɾija,1,1,tamil,2
makatːaːna,1,1,tamil,2
ɔbmɛʒenei,0,2,russian,1
tonkʲɪj,0,2,russian,1
nʲɪbɐlʲʂoj,0,2,russian,1
mʲɪkrəskɐpʲit͡ɕɪskʲɪj,0,2,russian,1
krɪxʲitnei,0,2,russian,1
mʲɪnʲɪɐtʲurə,0,2,russian,1
karlʲɪk,0,2,russian,1
kɐmpaktnɨj,0,2,russian,1
malʲɪnʲkʲɪj,0,2,russian,1
ɐɡrɐnʲit͡ɕɪnːɨj,0,2,russian,1
mʲɪzʲernɨj,0,2,russian,1
mini,0,2,russian,1
ɡʲɪɡantskʲɪj,1,2,russian,1
mɐsʲivnɨj,1,2,russian,1
ɐpʂɨrnɨj,1,2,russian,1
bʲeɣʲemot,1,2,russian,1
bɐlʲʂoj,1,2,russian,1
vnʊʂɨtʲɪlʲnɨj,1,2,russian,1
mʲɪkrəskɐpʲit͡ɕɪskʲɪj,1,2,russian,1
dlʲinːɨj,1,2,russian,1
prɐstornɨj,1,2,russian,1
vəzvɨʂajʉɕːɪjsʲə,1,2,russian,1
ʂɨrokʲɪj,1,2,russian,1
ʋesɔkei,1,2,russian,1
sbɑːsɒmə,0,3,danish,1
lilə,0,3,danish,1
betyðneŋsløːs,0,3,danish,1
minud,0,3,danish,1
pyɡmɛː,0,3,danish,1
fɒtali,0,3,danish,1
kɒːd,0,3,danish,1
fɔː,0,3,danish,1
ʁuːdimɛntɛɐ,0,3,danish,1
tʁiviɛl,0,3,danish,1
smal,0,3,danish,1
ubetyðəli,0,3,danish,1
ʁiːɪəli,1,3,danish,1
ɡʁansəløːs,1,3,danish,1
dyːb,1,3,danish,1
ɡiɡantisɡ,1,3,danish,1
ʁɔməli,1,3,danish,1
sdoɐ,1,3,danish,1
bʁɛð,1,3,danish,1
kɛmbəsdɒɐ,1,3,danish,1
kɛmbə,1,3,danish,1
enɒːm,1,3,danish,1
lɑŋ,1,3,danish,1
ɒmfadənə,1,3,danish,1
leʒe,0,4,french,0
etʁwa,0,4,french,0
minim,0,4,french,0
mɛs,0,4,french,0
pəti,0,4,french,0
diminytif,0,4,french,0
ɛɡziɡy,0,4,french,0
minyskyl,0,4,french,0
minjatyʁ,0,4,french,0
lilipysjɛ,0,4,french,0
ʁedɥi,0,4,french,0
ʃetif,0,4,french,0
imɑs,1,4,french,0
ʒiɡɑtɛsk,1,4,french,0
etɑdy,1,4,french,0
kolosal,1,4,french,0
vast,1,4,french,0
volyminø,1,4,french,0
ɡʁɑ,1,4,french,0
ɑpl,1,4,french,0
masif,1,4,french,0
kɔsideʁabl,1,4,french,0
deməzyʁe,1,4,french,0
spasjø,1,4,french,0
maːlo,0,5,czech,1
miɲiaturɲiː,0,5,czech,1
uːzkɛː,0,5,czech,1
nɛviːznamnɛː,0,5,czech,1
omɛzɛniː,0,5,czech,1
trpaslit͡ʃiː,0,5,czech,1
skromnɛː,0,5,czech,1
drobniː,0,5,czech,1
mrɲaviː,0,5,czech,1
kapɛsɲiːvɛlikost,0,5,czech,1
mikroskopit͡skɛː,0,5,czech,1
kompaktɲiː,0,5,czech,1
dlouɦɛː,1,5,czech,1
ɦlubokɛː,1,5,czech,1
visokiː,1,5,czech,1
cɛʃkɛː,1,5,czech,1
moɦutniː,1,5,czech,1
rosaːɦliː,1,5,czech,1
prostornɛː,1,5,czech,1
obrofskiː,1,5,czech,1
boɦatiː,1,5,czech,1
obriː,1,5,czech,1
objɛmniː,1,5,czech,1
vɛlkiː,1,5,czech,1
berukuransaku,0,6,indonesian,2
tipis,0,6,indonesian,2
skalakət͡ʃil,0,6,indonesian,2
sedikit,0,6,indonesian,2
kerdil,0,6,indonesian,2
kət͡ʃil,0,6,indonesian,2
muŋil,0,6,indonesian,2
tidaksiɡnifikan,0,6,indonesian,2
təɾbatas,0,6,indonesian,2
mikroskopis,0,6,indonesian,2
ɾiŋkas,0,6,indonesian,2
saŋatkət͡ʃil,0,6,indonesian,2
ɡadaŋ,1,6,indonesian,2
təbal,1,6,indonesian,2
ɾaksasa,1,6,indonesian,2
besaɾ,1,6,indonesian,2
luas,1,6,indonesian,2
beɾat,1,6,indonesian,2
baɲaksəkali,1,6,indonesian,2
pand͡ʒaŋ,1,6,indonesian,2
saŋatluas,1,6,indonesian,2
dalam,1,6,indonesian,2
lebaɾ,1,6,indonesian,2
tiŋɡi,1,6,indonesian,2
ufad͡ʒɯk,0,7,turkish,2
kyt͡ʃyk,0,7,turkish,2
kɯsa,0,7,turkish,2
kyt͡ʃyltme,0,7,turkish,2
ilkel,0,7,turkish,2
minjatyɾ,0,7,turkish,2
daɾ,0,7,turkish,2
sɯnɯɾlɯ,0,7,turkish,2
azaltɯlmɯʃ,0,7,turkish,2
zajɯf,0,7,turkish,2
œnemsiz,0,7,turkish,2
mytevazɯ,0,7,turkish,2
devasa,1,7,turkish,2
kapsamɯlɯ,1,7,turkish,2
ɡyt͡ʃly,1,7,turkish,2
ɡeniʃ,1,7,turkish,2
œnemli,1,7,turkish,2
t͡ʃokbyjyk,1,7,turkish,2
bolmiktaɾda,1,7,turkish,2
muzːam,1,7,turkish,2
byjykboj,1,7,turkish,2
jajɡɯn,1,7,turkish,2
etkilid͡ʒi,1,7,turkish,2
sɯnɯɾsɯz,1,7,turkish,2
mɤnit͡ʃɤk,0,8,bulgarian,1
njakɔlkɔ,0,8,bulgarian,1
malki,0,8,bulgarian,1
kɤs,0,8,bulgarian,1
miniatjuren,0,8,bulgarian,1
tesen,0,8,bulgarian,1
kɔmpakten,0,8,bulgarian,1
bɛdɛn,0,8,bulgarian,1
niʃtɔʒen,0,8,bulgarian,1
redki,0,8,bulgarian,1
malɤk,0,8,bulgarian,1
maɫɐk,0,8,bulgarian,1
ɡulemi,1,8,bulgarian,1
dɤlbɔkɔ,1,8,bulgarian,1
izubilen,1,8,bulgarian,1
izvisjavaʃt͡se,1,8,bulgarian,1
ɡiɡant͡ski,1,8,bulgarian,1
prɔstɔren,1,8,bulgarian,1
dɤlɤɡ,1,8,bulgarian,1
bezɡranit͡ʃen,1,8,bulgarian,1
ɔbʃiren,1,8,bulgarian,1
ɛdɐr,1,8,bulgarian,1
ɔɡrɔmen,1,8,bulgarian,1
ɡuljam,1,8,bulgarian,1
mik,0,9,romanian,0
rare,0,9,romanian,0
rudimentar,0,9,romanian,0
nesemnifikativ,0,9,romanian,0
mikroskopik,0,9,romanian,0
rare,0,9,romanian,0
ɨnɡust,0,9,romanian,0
subt͡sire,0,9,romanian,0
mik,0,9,romanian,0
skurt,0,9,romanian,0
miniatural,0,9,romanian,0
put͡sine,0,9,romanian,0
ɨnalt,1,9,romanian,0
makroskopik,1,9,romanian,0
lunɡ,1,9,romanian,0
mare,1,9,romanian,0
ɨnalt,1,9,romanian,0
adɨnk,1,9,romanian,0
humonɡous,1,9,romanian,0
ekstensiv,1,9,romanian,0
larɡ,1,9,romanian,0
uriaʃ,1,9,romanian,0
uriaʃ,1,9,romanian,0
abundent,1,9,romanian,0
menudo,0,10,spanish,0
reðuθiðo,0,10,spanish,0
pekeɲo,0,10,spanish,0
eksiɡwo,0,10,spanish,0
θeɲiðo,0,10,spanish,0
breβe,0,10,spanish,0
limitado,0,10,spanish,0
t͡ʃikito,0,10,spanish,0
restriŋxiðo,0,10,spanish,0
estret͡ʃo,0,10,spanish,0
komprimiðo,0,10,spanish,0
t͡ʃiko,0,10,spanish,0
dilatado,1,10,spanish,0
deskomunal,1,10,spanish,0
espaθjoso,1,10,spanish,0
maθiθo,1,10,spanish,0
konsiderable,1,10,spanish,0
xiɡantesko,1,10,spanish,0
enorme,1,10,spanish,0
amplio,1,10,spanish,0
bastisimo,1,10,spanish,0
ekstensibo,1,10,spanish,0
ɡrande,1,10,spanish,0
basto,1,10,spanish,0
mtnaːθr,0,11,standard_arabic,2
msɣr,0,11,standard_arabic,2
qljl,0,11,standard_arabic,2
dʔjjl,0,11,standard_arabic,2
qzm,0,11,standard_arabic,2
sɣjrd͡ʒdaːun,0,11,standard_arabic,2
daqjq,0,11,standard_arabic,2
qsjr,0,11,standard_arabic,2
mjkrwskwbj,0,11,standard_arabic,2
taːfh,0,11,standard_arabic,2
sɣjrʔlħd͡ʒm,0,11,standard_arabic,2
djq,0,11,standard_arabic,2
twjl,1,11,standard_arabic,2
ʕmlaːq,1,11,standard_arabic,2
kbjrʔlħd͡ʒm,1,11,standard_arabic,2
dxm,1,11,standard_arabic,2
fsjħ,1,11,standard_arabic,2
twjl,1,11,standard_arabic,2
wfjr,1,11,standard_arabic,2
haːʔjl,1,11,standard_arabic,2
kbjr,1,11,standard_arabic,2
mrtfʕ,1,11,standard_arabic,2
ʕrjd,1,11,standard_arabic,2
ʃaːsʕ,1,11,standard_arabic,2
ʐuɔ,0,12,mandarin,2
ɕi,0,12,mandarin,2
ʂɑʊ,0,12,mandarin,2
ɕi,0,12,mandarin,2
ɕiɑʊ,0,12,mandarin,2
t͡ɕiɛn,0,12,mandarin,2
ʂɤʊ,0,12,mandarin,2
wei,0,12,mandarin,2
tʂaɪ,0,12,mandarin,2
ti,0,12,mandarin,2
miɑʊ,0,12,mandarin,2
t͡ɕiŋ,0,12,mandarin,2
xɤʊ,1,12,mandarin,2
kuɑŋ,1,12,mandarin,2
kɑʊ,1,12,mandarin,2
nʊŋ,1,12,mandarin,2
tʂuɑŋ,1,12,mandarin,2
pɑŋ,1,12,mandarin,2
ʂəŋ,1,12,mandarin,2
tuɔ,1,12,mandarin,2
tʂɑŋ,1,12,mandarin,2
t͡ɕy,1,12,mandarin,2
kuɑŋ,1,12,mandarin,2
xʊŋ,1,12,mandarin,2
kʊʁt͡sleːbɪc,0,13,standard_german,1
t͡svɛʁk,0,13,standard_german,1
spɛəlɪx,0,13,standard_german,1
knɪʁps,0,13,standard_german,1
vɪnt͡sɪc,0,13,standard_german,1
t͡siːrlɪc,0,13,standard_german,1
bəʃaɪdən,0,13,standard_german,1
mɪkʁɪc,0,13,standard_german,1
t͡svɛʁk,0,13,standard_german,1
ʃlaŋk,0,13,standard_german,1
t͡saːɐt,0,13,standard_german,1
ɡeːʁɪŋ,0,13,standard_german,1
hoːxʁaːɡənt,1,13,standard_german,1
ɡəvaltɪc,1,13,standard_german,1
monumɛntaːl,1,13,standard_german,1
ʊmfaŋraɪc,1,13,standard_german,1
ɪmɛns,1,13,standard_german,1
yːbɐdimɛnzionaːl,1,13,standard_german,1
aʊsɐʔɔʁdɛntlɪc,1,13,standard_german,1
dɪk,1,13,standard_german,1
ʊnɡəhɔɪɐ,1,13,standard_german,1
mɛctɪc,1,13,standard_german,1
bədɔʏtənt,1,13,standard_german,1
ɡʁoːs,1,13,standard_german,1
hosːuː,0,14,hungarian,2
nɑɟʝ,0,14,hungarian,2
mɑsːiːv,0,14,hungarian,2
taːɡɑʃ,0,14,hungarian,2
mɑɡɑʃ,0,14,hungarian,2
oːriaːʃ,0,14,hungarian,2
hɑtɑlmɑʃ,0,14,hungarian,2
hɑtɑlmɑʃ,0,14,hungarian,2
tuːlmeːrɛtɛzɛtː,0,14,hungarian,2
rɛnɡɛtɛɡ,0,14,hungarian,2
monumɛntaːliʃ,0,14,hungarian,2
ɑlaːzatoʃ,0,14,hungarian,2
jɛlɛnteːktɛlɛn,1,14,hungarian,2
kɑrt͡ʃuː,1,14,hungarian,2
røvid,1,14,hungarian,2
korlaːtozotː,1,14,hungarian,2
miniɑtyːr,1,14,hungarian,2
mikroskopikuʃ,1,14,hungarian,2
ʃovaːɲ,1,14,hungarian,2
ɑproː,1,14,hungarian,2
kit͡ʃi,1,14,hungarian,2
minimɑloʃ,1,14,hungarian,2
kompɑkt,1,14,hungarian,2
veːkoɲ,1,14,hungarian,2
aɛhunja,0,15,twi_asante,2
mfitiasesɛm,0,15,twi_asante,2
sria,0,15,twi_asante,2
ketwebi,0,15,twi_asante,2
tia,0,15,twi_asante,2
ketwa,0,15,twi_asante,2
tiawa,0,15,twi_asante,2
ɛnɔso,0,15,twi_asante,2
awontumimmuaninɡuso,0,15,twi_asante,2
sra,0,15,twi_asante,2
anekɛsetesɛkotokumu,0,15,twi_asante,2
anikesisa,0,15,twi_asante,2
tenten,1,15,twi_asante,2
kesje,1,15,twi_asante,2
ware,1,15,twi_asante,2
emudo,1,15,twi_asante,2
tɛtre,1,15,twi_asante,2
sro,1,15,twi_asante,2
aejekesje,1,15,twi_asante,2
ɛtrɛw,1,15,twi_asante,2
brane,1,15,twi_asante,2
kakra,1,15,twi_asante,2
emudo,1,15,twi_asante,2
aekro,1,15,twi_asante,2
malenki,0,16,polish,1
kilka,0,16,polish,1
t͡ʃenki,0,16,polish,1
oɡranit͡ʃonɨ,0,16,polish,1
mikroskopinɨ,0,16,polish,1
prɨmitɨvnɨ,0,16,polish,1
drobnɨ,0,16,polish,1
defisɨtovɨ,0,16,polish,1
znakomitɨ,0,16,polish,1
ɲejstotnɨ,0,16,polish,1
krotki,0,16,polish,1
mawɨ,0,16,polish,1
ɡwewboko,1,16,polish,1
oɡromnɨ,1,16,polish,1
ɲeboɕewʒnɨ,1,16,polish,1
makroskopijnɨ,1,16,polish,1
ɕilnɨ,1,16,polish,1
ʂeroci,1,16,polish,1
rozleɡwɨ,1,16,polish,1
vɨsoki,1,16,polish,1
prʃestronɨ,1,16,polish,1
bezɡraɲit͡ʃnɨ,1,16,polish,1
ɡiɡant,1,16,polish,1
olbrʑɨmi,1,16,polish,1
zejr,0,17,maltese,1
piɡmeu,0,17,maltese,1
neɡlid͡ʒibːli,0,17,maltese,1
kompatːi,0,17,maltese,1
mikroskopiku,0,17,maltese,1
ftiːt,0,17,maltese,1
minuːta,0,17,maltese,1
skarsa,0,17,maltese,1
irʔiːʔ,0,17,maltese,1
minjatuːra,0,17,maltese,1
t͡ʃkejkna,0,17,maltese,1
insinifikanti,0,17,maltese,1
d͡ʒɡant,1,17,maltese,1
oːli,1,17,maltese,1
fond,1,17,maltese,1
imːens,1,17,maltese,1
twiːl,1,17,maltese,1
kbiːr,1,17,maltese,1
wɪːssː,1,17,maltese,1
enormi,1,17,maltese,1
estensiːv,1,17,maltese,1
kbar,1,17,maltese,1
kolosːali,1,17,maltese,1
makroskopiku,1,17,maltese,1
miɲɐtuɾɐ,0,18,greek,1
stɛno,0,18,greek,1
nɐnos,0,18,greek,1
lɛpto,0,18,greek,1
kodos,0,18,greek,1
sidomo,0,18,greek,1
mikɾoskopiko,0,18,greek,1
ɐsimɐdo,0,18,greek,1
mikɾo,0,18,greek,1
ipotipoðis,0,18,greek,1
piɣmɛos,0,18,greek,1
ɐɾɛi,0,18,greek,1
tɛɾɐstios,1,18,greek,1
ɛvɾis,1,18,greek,1
ɛktɛnis,1,18,greek,1
psilos,1,18,greek,1
kolosiɛo,1,18,greek,1
ipɛɾmɛʝɛθis,1,18,greek,1
pɛloɾios,1,18,greek,1
mɐkɾoskopiko,1,18,greek,1
ɛvɾixoɾos,1,18,greek,1
ɐfθonos,1,18,greek,1
oɡoðɛs,1,18,greek,1
mɐkɾis,1,18,greek,1
sedikit,0,19,italian,0
səmpit,0,19,italian,0
muŋil,0,19,italian,0
mikroskopis,0,19,italian,0
ɾiŋkas,0,19,italian,0
skalakət͡ʃil,0,19,italian,0
miniatuɾ,0,19,italian,0
bəlumsəmpuɾna,0,19,italian,0
kət͡ʃil,0,19,italian,0
saŋatkət͡ʃil,0,19,italian,0
təɾbatas,0,19,italian,0
kerdil,0,19,italian,0
besaɾ,1,19,italian,0
saŋatluas,1,19,italian,0
makɾoskopis,1,19,italian,0
lebaɾ,1,19,italian,0
tiŋɡi,1,19,italian,0
tiŋɡi,1,19,italian,0
ɾaksasa,1,19,italian,0
luas,1,19,italian,0
melimpah,1,19,italian,0
pand͡ʒaŋ,1,19,italian,0
dalam,1,19,italian,0
beɾat,1,19,italian,0
lahan,0,20,marathi,1
kiːrkoɭ,0,20,marathi,1
ləɡuːt͡ʃɪtɾʊ,0,20,marathi,1
aɾʊndə,0,20,marathi,1
paːtaɭu,0,20,marathi,1
aləp,0,20,marathi,1
ʋɪɾɪɾ,0,20,marathi,1
mɪnɪʈ,0,20,marathi,1
sʊkʂam,0,20,marathi,1
toɾe,0,20,marathi,1
naːzʊk,0,20,marathi,1
saŋʂɪp,0,20,marathi,1
maːstə,1,20,marathi,1
laːm,1,20,marathi,1
smaːɾkijə,1,20,marathi,1
pɾɛt͡ʃaɳɖə,1,20,marathi,1
bʱaːɾi,1,20,marathi,1
ʋɪʃaːk,1,20,marathi,1
mublək,1,20,marathi,1
maːkɾoskopɪk,1,20,marathi,1
moːʈa,1,20,marathi,1
afaːɖ,1,20,marathi,1
pɾat͡ʃaɳɖə,1,20,marathi,1
stuːl,1,20,marathi,1
ʀɨduzidu,0,21,portuguese,0
minimu,0,21,portuguese,0
mjudu,0,21,portuguese,0
mikɾuʃkɔpiku,0,21,portuguese,0
ɐnɐw,0,21,portuguese,0
minuʃkulu,0,21,portuguese,0
ifimu,0,21,portuguese,0
ʀɨʃtɾitu,0,21,portuguese,0
pɨkenu,0,21,portuguese,0
kopaktu,0,21,portuguese,0
iʃtɾɐjtu,0,21,portuguese,0
diminutu,0,21,portuguese,0
vaʃtu,1,21,portuguese,0
ɐjʃtesivu,1,21,portuguese,0
subɾɨdimesiunadu,1,21,portuguese,0
kulusal,1,21,portuguese,0
titɐniku,1,21,portuguese,0
ɐvɐtɐʒadu,1,21,portuguese,0
munumetal,1,21,portuguese,0
ɐplu,1,21,portuguese,0
imesu,1,21,portuguese,0
ʒiɡɐtɨ,1,21,portuguese,0
iʃpɐsozu,1,21,portuguese,0
inɔɾmɨ,1,21,portuguese,0
dak,0,22,hebrew,2
ʁiʃuni,0,22,hebrew,2
kompakti,0,22,hebrew,2
mikʁoskopi,0,22,hebrew,2
dalil,0,22,hebrew,2
nanas,0,22,hebrew,2
kat͡sav,0,22,hebrew,2
afsi,0,22,hebrew,2
lomaʃmawti,0,22,hebrew,2
let͡samet͡sem,0,22,hebrew,2
katan,0,22,hebrew,2
zaʔiʁ,0,22,hebrew,2
anak,1,22,hebrew,2
ʁaχav,1,22,hebrew,2
leloɡavul,1,22,hebrew,2
ʃofeʕ,1,22,hebrew,2
meʁuvoaχ,1,22,hebrew,2
ʕat͡sum,1,22,hebrew,2
makʁoskopi,1,22,hebrew,2
nirχab,1,22,hebrew,2
ɡadol,1,22,hebrew,2
ʕamok,1,22,hebrew,2
ʕanaki,1,22,hebrew,2
ʔaʁoχ,1,22,hebrew,2
pitlələx,0,23,dutch,1
lɑːχ,0,23,dutch,1
ʋɛinəx,0,23,dutch,1
ɔmbəlɑŋrɛik,0,23,dutch,1
ɔmbədœydənt,0,23,dutch,1
krœyməl,0,23,dutch,1
stœk,0,23,dutch,1
pətitɛrɪx,0,23,dutch,1
kɪnt,0,23,dutch,1
nitəx,0,23,dutch,1
dʋɛrx,0,23,dutch,1
klɛin,0,23,dutch,1
koːlɔsaːl,1,23,dutch,1
vɔrstələk,1,23,dutch,1
ɪməns,1,23,dutch,1
enɔrm,1,23,dutch,1
ovərwɛldəxənt,1,23,dutch,1
fɔrs,1,23,dutch,1
mɑsal,1,23,dutch,1
œytxəstrɛxt,1,23,dutch,1
ɔmvɑŋrɛik,1,23,dutch,1
røzɛxtɪx,1,23,dutch,1
ʋɛːt͡s,1,23,dutch,1
aːnzinlək,1,23,dutch,1
minʲi,0,24,ukrainian,1
karlɪkɔvɪj,0,24,ukrainian,1
vuzʲkɪj,0,24,ukrainian,1
minʲimalʲnɪj,0,24,ukrainian,1
drʲibnɔmasʃtabnɪj,0,24,ukrainian,1
nɛznat͡ʃnɪj,0,24,ukrainian,1
kɪʃɛnʲkɔvɪj,0,24,ukrainian,1
minʲiatʲurnɪj,0,24,ukrainian,1
ɔbmɛʒɛnɪj,0,24,ukrainian,1
mikrɔskɔpit͡ʃnɪj,0,24,ukrainian,1
kɔrɔtkɪj,0,24,ukrainian,1
malɛnʲkɪj,0,24,ukrainian,1
ɦiɦant͡sʲkɪj,1,24,ukrainian,1
vɛlɪt͡ʃɛznɪj,1,24,ukrainian,1
vɛlɪt͡ʃɛznɪj,1,24,ukrainian,1
vɛlɪkɪj,1,24,ukrainian,1
nɛɦabarɪtnɪj,1,24,ukrainian,1
vɛlɪt͡ʃɛznɪj,1,24,ukrainian,1
mɔnumɛntalʲnɪj,1,24,ukrainian,1
prɔstɔrɪj,1,24,ukrainian,1
ʃɪrɔkɪj,1,24,ukrainian,1
ɦiɦant͡sʲkɪj,1,24,ukrainian,1
vɛlɪt͡ʃnɪj,1,24,ukrainian,1
mɔɦutnʲij,1,24,ukrainian,1
ɡɑmxdɑɾi,0,25,georgian,2
mt͡siɾi,0,25,georgian,2
ɣɑɾibuli,0,25,georgian,2
mt͡siɾɛ,0,25,georgian,2
t͡svɾilmɑni,0,25,georgian,2
mɔzɑɾdi,0,25,georgian,2
umniʃvnɛlɔ,0,25,georgian,2
mt͡siɾɛmɑsʃtɑbi,0,25,georgian,2
pɑtɑɾɑ,0,25,georgian,2
ʃɛzɣuduli,0,25,georgian,2
ɾɑmdɛnimɛ,0,25,georgian,2
vit͡sɾɔ,0,25,georgian,2
mɑɣɑli,1,25,georgian,2
kɔʃkiɑni,1,25,georgian,2
mniʃvnɛlɔvɑni,1,25,georgian,2
ɡɾd͡zɛli,1,25,georgian,2
usɑzɣvɾɔ,1,25,georgian,2
ɡɑniɛɾi,1,25,georgian,2
ɣɾmɑ,1,25,georgian,2
ɑmɑɣlɛbuli,1,25,georgian,2
humɑnuɾi,1,25,georgian,2
didi,1,25,georgian,2
vɾt͡sɛli,1,25,georgian,2
pɑɾtɔ,1,25,georgian,2
bɑlɑd͡ʒɑ,0,26,azerbaijani_north,2
t͡sit͡ʃit͡ʃ,0,26,azerbaijani_north,2
d͡ʒyzi,0,26,azerbaijani_north,2
myxtæsæɾ,0,26,azerbaijani_north,2
mæhdudduɾ,0,26,azerbaijani_north,2
zæif,0,26,azerbaijani_north,2
ɡɯsɑ,0,26,azerbaijani_north,2
dɑɾ,0,26,azerbaijani_north,2
tævɑzœkɑɾ,0,26,azerbaijani_north,2
dæɡiɡæ,0,26,azerbaijani_north,2
d͡zɯɾtdɑn,0,26,azerbaijani_north,2
jɯɣd͡ʒɑm,0,26,azerbaijani_north,2
iɾi,1,26,azerbaijani_north,2
dæhʃætli,1,26,azerbaijani_north,2
æhæmijjætli,1,26,azerbaijani_north,2
ɡydɾætli,1,26,azerbaijani_north,2
enli,1,26,azerbaijani_north,2
monumentɑl,1,26,azerbaijani_north,2
bol,1,26,azerbaijani_north,2
ɟeniʃ,1,26,azerbaijani_north,2
hydut͡suz,1,26,azerbaijani_north,2
bœjyt͡ʃ,1,26,azerbaijani_north,2
jekæ,1,26,azerbaijani_north,2
ælɑ,1,26,azerbaijani_north,2
